"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"C8";"470µF";"SMD_ELKO_10.0X10.0";"8.1000";"5.4000";"180";"BottomLayer"
"C9";"10µF";"SMD_Keramikkondensator_1206";"18.0000";"6.9250";"270";"BottomLayer"
"C10";"1µF";"SMD_Keramikkondensator_0603";"20.0000";"7.7000";"270";"BottomLayer"
"C11";"1µF";"SMD_Keramikkondensator_1206";"18.0000";"25.2500";"90";"BottomLayer"
"C12";"220µF";"SMD_ELKO_12.5X13.5";"9.2500";"29.5500";"180";"BottomLayer"
"C13";"470µF";"SMD_ELKO_10.0X10.0";"8.1250";"-5.4000";"180";"BottomLayer"
"C14";"10µF";"SMD_Keramikkondensator_1206";"15.7500";"-9.0500";"0";"BottomLayer"
"C15";"1µF";"SMD_Keramikkondensator_0603";"15.0000";"-11.1000";"0";"BottomLayer"
"C16";"10µF";"SMD_Keramikkondensator_1206";"15.7500";"-24.0500";"0";"BottomLayer"
"C17";"470µF";"SMD_ELKO_10.0X10.0";"8.1250";"-27.7000";"180";"BottomLayer"
"C18";"1µF";"SMD_Keramikkondensator_0603";"38.2000";"39.0000";"90";"BottomLayer"
"C1_1";"1µF";"SMD_Keramikkondensator_0603";"73.5030";"34.0460";"0";"BottomLayer"
"C1_2";"1µF";"SMD_Keramikkondensator_0603";"73.5000";"19.3010";"0";"BottomLayer"
"C1_3";"1µF";"SMD_Keramikkondensator_0603";"73.4960";"4.5710";"0";"BottomLayer"
"C1_4";"1µF";"SMD_Keramikkondensator_0603";"73.5000";"-10.1990";"0";"BottomLayer"
"C1_5";"1µF";"SMD_Keramikkondensator_0603";"73.4960";"-24.9540";"0";"BottomLayer"
"C1_6";"1µF";"SMD_Keramikkondensator_0603";"73.5000";"-39.6990";"0";"BottomLayer"
"C2_1";"100nF";"SMD_Keramikkondensator_0603";"85.2530";"32.1210";"270";"BottomLayer"
"C2_2";"100nF";"SMD_Keramikkondensator_0603";"85.2500";"17.3760";"270";"BottomLayer"
"C2_3";"100nF";"SMD_Keramikkondensator_0603";"85.2460";"2.6460";"270";"BottomLayer"
"C2_4";"100nF";"SMD_Keramikkondensator_0603";"85.2500";"-12.1240";"270";"BottomLayer"
"C2_5";"100nF";"SMD_Keramikkondensator_0603";"85.2460";"-26.8790";"270";"BottomLayer"
"C2_6";"100nF";"SMD_Keramikkondensator_0603";"85.2500";"-41.6240";"270";"BottomLayer"
"C3_1";"NP";"SMD_Keramikkondensator_0603";"104.2530";"31.1200";"270";"BottomLayer"
"C3_2";"NP";"SMD_Keramikkondensator_0603";"104.2500";"16.3750";"270";"BottomLayer"
"C3_3";"NP";"SMD_Keramikkondensator_0603";"104.2460";"1.6450";"270";"BottomLayer"
"C3_4";"NP";"SMD_Keramikkondensator_0603";"104.2500";"-13.1250";"270";"BottomLayer"
"C3_5";"NP";"SMD_Keramikkondensator_0603";"104.2460";"-27.8800";"270";"BottomLayer"
"C3_6";"NP";"SMD_Keramikkondensator_0603";"104.2500";"-42.6250";"270";"BottomLayer"
"C4_1";"NP";"SMD_Keramikkondensator_0603";"104.2530";"36.8700";"270";"BottomLayer"
"C4_2";"NP";"SMD_Keramikkondensator_0603";"104.2500";"22.1250";"270";"BottomLayer"
"C4_3";"NP";"SMD_Keramikkondensator_0603";"104.2460";"7.3950";"270";"BottomLayer"
"C4_4";"NP";"SMD_Keramikkondensator_0603";"104.2500";"-7.3750";"270";"BottomLayer"
"C4_5";"NP";"SMD_Keramikkondensator_0603";"104.2460";"-22.1300";"270";"BottomLayer"
"C4_6";"NP";"SMD_Keramikkondensator_0603";"104.2500";"-36.8750";"270";"BottomLayer"
"C5_1";"NP";"SMD_Keramikkondensator_0603";"104.2530";"42.6200";"90";"BottomLayer"
"C5_2";"NP";"SMD_Keramikkondensator_0603";"104.2500";"27.8750";"90";"BottomLayer"
"C5_3";"NP";"SMD_Keramikkondensator_0603";"104.2460";"13.1450";"90";"BottomLayer"
"C5_4";"NP";"SMD_Keramikkondensator_0603";"104.2500";"-1.6250";"90";"BottomLayer"
"C5_5";"NP";"SMD_Keramikkondensator_0603";"104.2460";"-16.3800";"90";"BottomLayer"
"C5_6";"NP";"SMD_Keramikkondensator_0603";"104.2500";"-31.1250";"90";"BottomLayer"
"C6_1";"1µF";"SMD_Keramikkondensator_0603";"73.5030";"41.4240";"0";"BottomLayer"
"C6_2";"1µF";"SMD_Keramikkondensator_0603";"73.5000";"26.6790";"0";"BottomLayer"
"C6_3";"1µF";"SMD_Keramikkondensator_0603";"73.4960";"11.9490";"0";"BottomLayer"
"C6_4";"1µF";"SMD_Keramikkondensator_0603";"73.5000";"-2.8210";"0";"BottomLayer"
"C6_5";"1µF";"SMD_Keramikkondensator_0603";"73.4960";"-17.5760";"0";"BottomLayer"
"C6_6";"1µF";"SMD_Keramikkondensator_0603";"73.5000";"-32.3210";"0";"BottomLayer"
"C7_1";"100nF";"SMD_Keramikkondensator_0603";"85.2530";"39.4950";"270";"BottomLayer"
"C7_2";"100nF";"SMD_Keramikkondensator_0603";"85.2500";"24.7500";"270";"BottomLayer"
"C7_3";"100nF";"SMD_Keramikkondensator_0603";"85.2460";"10.0200";"270";"BottomLayer"
"C7_4";"100nF";"SMD_Keramikkondensator_0603";"85.2500";"-4.7500";"270";"BottomLayer"
"C7_5";"100nF";"SMD_Keramikkondensator_0603";"85.2460";"-19.5050";"270";"BottomLayer"
"C7_6";"100nF";"SMD_Keramikkondensator_0603";"85.2500";"-34.2500";"270";"BottomLayer"
"D1";"SP1060L";"SMD_DIODE_TO-277";"17.5975";"39.7500";"0";"BottomLayer"
"D8";"SP1060L";"SMD_DIODE_TO-277";"21.1000";"18.3975";"90";"BottomLayer"
"D9";"SP1060L";"SMD_DIODE_TO-277";"21.1000";"-14.7025";"90";"BottomLayer"
"D2_1";"1N4148";"SMD_Diode_SOD-123";"73.5030";"31.1460";"180";"BottomLayer"
"D2_2";"1N4148";"SMD_Diode_SOD-123";"73.5000";"16.4010";"180";"BottomLayer"
"D2_3";"1N4148";"SMD_Diode_SOD-123";"73.4960";"1.6710";"180";"BottomLayer"
"D2_4";"1N4148";"SMD_Diode_SOD-123";"73.5000";"-13.0990";"180";"BottomLayer"
"D2_5";"1N4148";"SMD_Diode_SOD-123";"73.4960";"-27.8540";"180";"BottomLayer"
"D2_6";"1N4148";"SMD_Diode_SOD-123";"73.5000";"-42.5990";"180";"BottomLayer"
"D3_1";"1N4148";"SMD_Diode_SOD-123";"88.7530";"32.0825";"0";"BottomLayer"
"D3_2";"1N4148";"SMD_Diode_SOD-123";"88.7500";"17.3375";"0";"BottomLayer"
"D3_3";"1N4148";"SMD_Diode_SOD-123";"88.7460";"2.6075";"0";"BottomLayer"
"D3_4";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-12.1625";"0";"BottomLayer"
"D3_5";"1N4148";"SMD_Diode_SOD-123";"88.7460";"-26.9175";"0";"BottomLayer"
"D3_6";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-41.6625";"0";"BottomLayer"
"D4_1";"1N4148";"SMD_Diode_SOD-123";"88.7530";"34.2825";"0";"BottomLayer"
"D4_2";"1N4148";"SMD_Diode_SOD-123";"88.7500";"19.5375";"0";"BottomLayer"
"D4_3";"1N4148";"SMD_Diode_SOD-123";"88.7460";"4.8075";"0";"BottomLayer"
"D4_4";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-9.9625";"0";"BottomLayer"
"D4_5";"1N4148";"SMD_Diode_SOD-123";"88.7460";"-24.7175";"0";"BottomLayer"
"D4_6";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-39.4625";"0";"BottomLayer"
"D5_1";"1N4148";"SMD_Diode_SOD-123";"73.5030";"38.5240";"180";"BottomLayer"
"D5_2";"1N4148";"SMD_Diode_SOD-123";"73.5000";"23.7790";"180";"BottomLayer"
"D5_3";"1N4148";"SMD_Diode_SOD-123";"73.4960";"9.0490";"180";"BottomLayer"
"D5_4";"1N4148";"SMD_Diode_SOD-123";"73.5000";"-5.7210";"180";"BottomLayer"
